,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
1202,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,1.0,78KyOmqWmqLkQcXO1cA7MO,Fashion Week (feat. AJ Tracey & MoStack),spotify:track:78KyOmqWmqLkQcXO1cA7MO,2019-03-21,0.272,0.694,201998.0,0.757,1.0,0.000161,11.0,0.0995,-6.899,0.0,66.0,0.167,97.167,4.0,0.703,1.0
1203,Comeback,M Skeng,11.0,410PdvdeRJSc7D3YRkNfIi,Keisha & Becky,spotify:track:410PdvdeRJSc7D3YRkNfIi,2020-09-20,0.758,0.696,242971.0,0.276,1.0,0.0,11.0,0.128,-11.857,1.0,24.0,0.777,139.782,4.0,0.352,1.0
1204,7 EP,Lil Nas X,1.0,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,spotify:track:2YpeDb67231RjR0MgVLzsG,2019-06-21,0.0533,0.878,157066.0,0.619,0.0,0.0,6.0,0.113,-5.56,1.0,83.0,0.102,136.041,4.0,0.639,1.0
1205,The Balance,Catfish and the Bottlemen,3.0,0ZfEeIu7CNHQhbCTiVv3cx,2all,spotify:track:0ZfEeIu7CNHQhbCTiVv3cx,2019-04-26,0.00246,0.396,188440.0,0.778,1.0,0.00291,7.0,0.0952,-3.99,0.0,57.0,0.0718,166.846,4.0,0.362,1.0
1206,Patience,Tame Impala,1.0,2drEUEg0TYQR6dDEHkpuPE,Patience,spotify:track:2drEUEg0TYQR6dDEHkpuPE,2019-03-22,0.00223,0.546,292267.0,0.859,0.0,0.000947,1.0,0.0529,-5.966,1.0,65.0,0.0306,99.965,4.0,0.645,1.0
1207,FWA Boss,SL,1.0,1cKfDB9CBA8RXINbLVRpF8,FWA Boss,spotify:track:1cKfDB9CBA8RXINbLVRpF8,2019-03-21,0.799,0.947,208000.0,0.323,1.0,0.0,3.0,0.13,-14.32,0.0,49.0,0.462,120.016,4.0,0.642,1.0
1208,Lifestyle,Deno,1.0,4Xj15KENY2B1MdWwcz8eg8,Lifestyle,spotify:track:4Xj15KENY2B1MdWwcz8eg8,2019-03-20,0.084,0.564,203491.0,0.569,0.0,0.0,5.0,0.217,-4.836,0.0,42.0,0.245,105.016,4.0,0.59,1.0
1209,Nevermind,Dennis Lloyd,1.0,63SevszngYpZOwf63o61K4,Nevermind,spotify:track:63SevszngYpZOwf63o61K4,2017-06-30,0.159,0.6,156600.0,0.688,0.0,1.29e-05,5.0,0.409,-8.339,0.0,77.0,0.201,99.977,4.0,0.0793,1.0
1210,Drillers x Trappers II,Rv,2.0,6cqR6Nvk4hNF6P8POXVgvO,Match Day,spotify:track:6cqR6Nvk4hNF6P8POXVgvO,2019-03-22,0.577,0.89,222857.0,0.792,1.0,0.0,10.0,0.101,-4.543,0.0,42.0,0.356,140.163,4.0,0.751,1.0
1211,What I Like About You (feat. Theresa Rex),Jonas Blue,1.0,4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),spotify:track:4NSW0Km5ZG60L8FthUebPJ,2019-03-22,0.289,0.46,220396.0,0.8,0.0,6.16e-06,1.0,0.121,-3.584,1.0,74.0,0.05,102.46,4.0,0.553,1.0
1212,Bad Habits (Deluxe),NAV,6.0,4hqOmrCCJKyiuwDexd8c2t,Price On My Head (feat. The Weeknd),spotify:track:4hqOmrCCJKyiuwDexd8c2t,2019-03-26,0.384,0.768,217775.0,0.574,1.0,1.65e-05,6.0,0.336,-6.104,0.0,65.0,0.136,74.949,4.0,0.278,1.0
1213,A Place We Knew,Dean Lewis,4.0,2smpiAZfaN0GFi15MqAq6E,Stay Awake,spotify:track:2smpiAZfaN0GFi15MqAq6E,2019-03-22,0.337,0.723,185400.0,0.829,0.0,3.47e-05,11.0,0.0931,-7.123,0.0,69.0,0.0453,106.023,4.0,0.582,1.0
